------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.539961407554451
Known Word WER = 3.643739463104656
Unknown Word WER = 43.82661218688932
	NNS	RP	CD	IN	JJ	VBD	NN	WDT	RB	VBN	VBP	NPS	FW	VB	NNP	NNPS	RBR	VBG	JJR	VBZ	DT	CC	POS	PDT	PRP	EX	RBS	UH	WP	PRP$	LS	JJS	SYM	TO	,	MD	''
